config,cache_size,vram_mib,hit_pct,prompt_tps,gen_tps,total_ops,cpu_dispatch_pct,avg_miss_per_op_gpu
GPU only (no -ot),0,,,5754.6,146.3,,,
LRU only,16,1134.4,46.2,974.5,26.7,165708,0.0,4.66
LRU only,32,2268.9,58.4,1020.2,31.8,165708,0.0,3.6
LRU only,64,4537.8,76.3,1093.7,45.1,165708,0.0,2.04
LRU only,96,6806.6,84.4,1215.6,55.0,165708,0.0,1.35
LRU only,128,9075.5,89.7,1352.7,63.9,165708,0.0,0.89
LRU only,192,13613.2,95.2,1728.1,74.9,165708,0.0,0.41
LRU only,256,18151.0,97.9,2152.2,80.7,165708,0.0,0.18
LRU+S3,16,1134.4,6.3,235.3,37.5,1713,69.2,54.82
LRU+S3,32,2268.9,6.7,234.6,38.7,1713,69.2,54.41
LRU+S3,64,4537.8,38.1,232.7,39.0,5535,21.1,8.63
LRU+S3,96,6806.6,46.6,233.7,39.3,5535,21.1,7.4
LRU+S3,128,9075.5,49.7,234.1,38.7,5535,21.1,6.94
LRU+S3,192,13613.2,53.0,233.4,39.2,5535,21.1,6.45
LRU+S3,256,18151.0,97.8,1356.7,76.1,,,
baseline,0,,,980.6,36.2,,,
