config,cache_size,vram_mib,hit_pct,prompt_tps,gen_tps,total_ops,cpu_dispatch_pct,avg_miss_per_op_gpu
LRU only,16,1134.4,43.6,43.8,26.4,12237,0.0,4.83
LRU only,32,2268.9,59.2,43.2,33.4,12237,0.0,3.58
LRU only,48,3403.3,68.4,46.8,39.7,12237,0.0,2.76
LRU only,64,4537.8,73.3,48.3,44.3,12237,0.0,2.35
LRU only,80,5672.2,74.7,48.0,46.5,12237,0.0,2.15
LRU only,96,6806.6,80.3,48.9,54.3,12237,0.0,1.67
LRU only,112,7941.1,81.7,49.2,57.2,12237,0.0,1.53
LRU only,128,9075.5,83.0,49.2,59.6,12237,0.0,1.41
LRU only,144,10209.9,83.3,49.0,60.4,12237,0.0,1.38
LRU only,160,11344.4,82.8,49.1,59.2,12237,0.0,1.43
LRU only,176,12478.8,83.8,48.8,61.0,12237,0.0,1.36
LRU only,192,13613.2,83.2,49.1,59.8,12237,0.0,1.4
LRU only,208,14747.7,83.9,49.2,61.3,12237,0.0,1.33
LRU only,224,15882.1,82.9,49.1,59.3,12237,0.0,1.42
LRU only,240,17016.6,83.1,49.0,59.8,12237,0.0,1.4
LRU only,256,18151.0,83.6,49.1,60.8,12237,0.0,1.37
LRU+S3,16,1134.4,13.2,41.8,38.0,771,30.4,18.49
LRU+S3,32,2268.9,13.9,43.9,38.6,771,30.4,17.69
LRU+S3,48,3403.3,13.9,46.0,30.9,771,30.4,17.26
LRU+S3,64,4537.8,15.1,35.9,39.7,1653,12.3,6.8
LRU+S3,80,5672.2,79.3,47.0,50.5,9297,0.5,1.81
LRU+S3,96,6806.6,81.8,46.5,55.5,11649,0.1,1.57
LRU+S3,112,7941.1,82.6,45.9,57.5,11943,0.1,1.49
LRU+S3,128,9075.5,82.7,45.7,57.7,11943,0.1,1.47
LRU+S3,144,10209.9,82.4,48.7,58.3,12237,0.0,1.47
LRU+S3,160,11344.4,83.6,48.8,60.8,12237,0.0,1.36
LRU+S3,176,12478.8,83.7,49.1,60.8,12237,0.0,1.37
LRU+S3,192,13613.2,83.7,48.4,61.1,12237,0.0,1.35
LRU+S3,208,14747.7,83.7,48.7,61.1,12237,0.0,1.34
LRU+S3,224,15882.1,83.3,48.3,60.3,12237,0.0,1.38
LRU+S3,240,17016.6,83.9,48.3,61.6,12237,0.0,1.33
LRU+S3,256,18151.0,83.9,49.0,60.7,12237,0.0,1.37
baseline,0,,,80.3,37.5,,,
